Timestamp,Session_ID,Fruit_ID,Quality,Area,Status
17:43:37,20260401_174310,69,11.9,14400,REJECT
17:43:38,20260401_174310,70,25.7,4356,REJECT
17:43:38,20260401_174310,71,26.4,12996,REJECT
17:43:38,20260401_174310,72,34.4,7056,REJECT
17:43:39,20260401_174310,73,29.2,6400,REJECT
17:43:39,20260401_174310,74,27.3,4624,REJECT
17:43:40,20260401_174310,75,31.4,10816,REJECT
17:43:40,20260401_174310,76,27.5,12100,REJECT
17:43:40,20260401_174310,77,21.7,9216,REJECT
17:43:41,20260401_174310,78,28.2,7056,REJECT
17:43:42,20260401_174310,79,32.9,10816,REJECT
17:43:42,20260401_174310,80,34.4,9604,REJECT
17:43:43,20260401_174310,81,20.7,7056,REJECT
17:43:43,20260401_174310,82,20.3,10000,REJECT
17:43:43,20260401_174310,83,30.0,42436,REJECT
17:43:44,20260401_174310,84,23.1,7056,REJECT
17:43:45,20260401_174310,85,33.2,28224,REJECT
17:43:45,20260401_174310,86,21.6,4356,REJECT
17:43:46,20260401_174310,87,27.6,43264,REJECT
17:43:46,20260401_174310,88,31.3,4624,REJECT
17:43:47,20260401_174310,89,43.9,30276,LOW
17:43:47,20260401_174310,90,50.9,33124,LOW
17:43:47,20260401_174310,91,42.5,44944,LOW
17:43:47,20260401_174310,92,45.7,5476,LOW
17:43:48,20260401_174310,93,31.7,40804,REJECT
17:43:48,20260401_174310,94,31.8,45796,REJECT
17:43:49,20260401_174310,95,21.9,14400,REJECT
17:43:49,20260401_174310,96,38.1,102400,REJECT
17:43:50,20260401_174310,97,6.9,9216,REJECT
17:43:50,20260401_174310,98,20.9,206116,REJECT
17:43:51,20260401_174310,99,26.8,60516,REJECT
17:43:51,20260401_174310,100,38.0,17424,REJECT
17:43:52,20260401_174310,101,41.4,10000,LOW
17:43:52,20260401_174310,102,36.5,5184,REJECT
17:43:52,20260401_174310,103,66.2,4624,LOW
17:43:53,20260401_174310,104,18.6,291600,REJECT
17:43:54,20260401_174310,105,36.2,315844,REJECT
17:43:54,20260401_174310,106,20.9,293764,REJECT
17:43:55,20260401_174310,107,48.4,334084,LOW
17:43:56,20260401_174310,108,19.8,295936,REJECT
17:43:58,20260401_174310,109,31.1,327184,REJECT
17:43:59,20260401_174310,110,17.0,287296,REJECT
17:44:01,20260401_174310,111,38.2,338724,REJECT
17:44:01,20260401_174310,112,16.7,295936,REJECT
17:44:02,20260401_174310,113,15.8,287296,REJECT
17:44:05,20260401_174310,114,50.8,324900,LOW
17:44:06,20260401_174310,115,20.9,295936,REJECT
17:44:08,20260401_174310,116,36.5,343396,REJECT
17:44:08,20260401_174310,117,20.9,295936,REJECT
17:44:10,20260401_174310,118,45.3,329476,LOW
17:44:11,20260401_174310,119,14.8,289444,REJECT
17:44:19,20260401_174310,120,38.4,329476,REJECT
17:44:19,20260401_174310,121,14.7,295936,REJECT
17:44:31,20260401_174310,122,52.4,318096,LOW
17:44:31,20260401_174310,123,19.0,287296,REJECT
17:44:33,20260401_174310,124,42.0,334084,LOW
17:44:33,20260401_174310,125,18.4,295936,REJECT
17:44:39,20260401_174310,126,23.6,309136,REJECT
17:44:41,20260401_174310,127,38.2,331776,REJECT
17:44:41,20260401_174310,128,16.5,300304,REJECT
17:44:44,20260401_174310,129,46.5,329476,LOW
17:44:44,20260401_174310,130,20.0,306916,REJECT
17:44:46,20260401_174310,131,46.1,341056,LOW
17:44:47,20260401_174310,132,21.0,311364,REJECT
17:44:49,20260401_174310,133,20.9,300304,REJECT
17:44:50,20260401_174310,134,37.0,329476,REJECT
17:44:51,20260401_174310,135,21.5,304704,REJECT
17:44:51,20260401_174310,136,35.8,324900,REJECT
17:44:52,20260401_174310,137,16.9,302500,REJECT
17:44:55,20260401_174310,138,34.2,331776,REJECT
