Date,Time,Millis,Sensor1,Sensor2
2026-03-25,20:58:40,174000,1005,1222
2026-03-25,20:58:42,176000,1023,1219
2026-03-25,20:58:44,178000,1013,1228
2026-03-25,20:58:46,180000,1023,1205
2026-03-25,20:58:48,182000,1013,1228
2026-03-25,20:58:50,184000,1023,1285
2026-03-25,20:58:52,186000,1023,1221
2026-03-25,20:58:54,188000,1021,1216
2026-03-25,20:58:56,190000,1178,1223
2026-03-25,20:58:58,192000,1019,1230
2026-03-25,20:59:00,194000,1006,1222
2026-03-25,20:59:02,196000,1015,1218
2026-03-25,20:59:04,198000,1011,1264
2026-03-25,20:59:06,200000,1018,1229
2026-03-25,20:59:08,202000,1015,1222
2026-03-25,20:59:10,204000,1013,1219
2026-03-25,20:59:12,206000,1005,1219
2026-03-25,20:59:14,208000,1003,1223
2026-03-25,20:59:16,210000,1002,1218
2026-03-25,20:59:18,212000,1006,1229
2026-03-25,20:59:20,214000,1033,1261
2026-03-25,20:59:22,216000,1023,1233
2026-03-25,20:59:24,218000,1015,1216
2026-03-25,20:59:26,220000,1012,1225
2026-03-25,20:59:28,222000,1021,1218
2026-03-25,20:59:30,224000,1021,1229
2026-03-25,20:59:32,226000,1018,1215
2026-03-25,20:59:34,228000,1007,1217
2026-03-25,20:59:36,230000,1008,1216
2026-03-25,20:59:38,232000,1011,1216
2026-03-25,20:59:40,234000,1007,1291
2026-03-25,20:59:42,236000,1009,1224
2026-03-25,20:59:44,238000,998,1219
2026-03-25,20:59:46,240000,1011,1471
2026-03-25,20:59:48,242000,1007,1221
2026-03-25,20:59:50,244000,992,1228
2026-03-25,20:59:52,246000,961,1222
2026-03-25,20:59:54,248000,1010,1219
2026-03-25,20:59:56,250000,997,1220
2026-03-25,20:59:58,252000,1008,1219
2026-03-25,21:00:00,254000,1001,1227
2026-03-25,21:00:02,256000,1008,1217
2026-03-25,21:00:04,258000,997,1204
2026-03-25,21:00:06,260000,992,1201
2026-03-25,21:00:08,262000,977,1215
2026-03-25,21:00:10,264000,978,1201
2026-03-25,21:00:12,266000,988,1215
2026-03-25,21:00:14,268000,983,1203
2026-03-25,21:00:16,270000,996,1200
2026-03-25,21:00:18,272000,931,1165
2026-03-25,21:00:20,274000,929,1151
2026-03-25,21:00:22,276000,963,1198
2026-03-25,21:00:24,278000,971,1195
2026-03-25,21:00:26,280000,967,1203
2026-03-25,21:00:28,282000,974,1219
2026-03-25,21:00:30,284000,971,1210
2026-03-25,21:00:32,286000,973,947
2026-03-25,21:00:34,288000,970,1206
2026-03-25,21:00:36,290000,977,1193
2026-03-25,21:00:38,292000,964,1200
2026-03-25,21:00:40,294000,965,1200
2026-03-25,21:00:42,296000,1114,1204
2026-03-25,21:00:44,298000,965,1207
2026-03-25,21:00:46,300000,960,1145
2026-03-25,21:00:48,302000,965,1200
2026-03-25,21:00:50,304000,939,1203
2026-03-25,21:00:52,306000,960,1198
2026-03-25,21:00:54,308000,974,1194
2026-03-25,21:00:56,310000,958,1190
2026-03-25,21:00:58,312000,959,1193
2026-03-25,21:01:00,314000,961,1199
2026-03-25,21:01:02,316000,961,1201
2026-03-25,21:01:04,318000,951,1197
2026-03-25,21:01:06,320000,960,1201
2026-03-25,21:01:08,322000,965,1200
2026-03-25,21:01:10,324000,947,1201
2026-03-25,21:01:12,326000,951,1203
2026-03-25,21:01:14,328000,963,1203
2026-03-25,21:01:16,330000,977,1200
2026-03-25,21:01:18,332000,960,1246
2026-03-25,21:01:20,334000,960,1203
2026-03-25,21:01:22,336000,910,1201
2026-03-25,21:01:24,338000,972,1163
2026-03-25,21:01:26,340000,958,1203
2026-03-25,21:01:28,342000,977,1207
2026-03-25,21:01:30,344000,934,1197
2026-03-25,21:01:32,346000,957,1203
2026-03-25,21:01:34,348000,976,1201
2026-03-25,21:01:36,350000,981,1207
2026-03-25,21:01:38,352000,955,1200
2026-03-25,21:01:40,354000,960,1198
2026-03-25,21:01:42,356000,959,1207
2026-03-25,21:01:44,358000,946,1207
2026-03-25,21:01:46,360000,947,1200
2026-03-25,21:01:48,362000,963,1287
2026-03-25,21:01:50,364000,961,1201
2026-03-25,21:01:52,366000,860,1211
2026-03-25,21:01:54,368000,907,1201
2026-03-25,21:01:56,370000,960,1203
2026-03-25,21:01:58,372000,961,1209
2026-03-25,21:02:00,374000,950,1200
2026-03-25,21:02:02,376000,959,1276
2026-03-25,21:02:04,378000,962,1219
2026-03-25,21:02:06,380000,973,1190
2026-03-25,21:02:08,382000,967,1207
2026-03-25,21:02:10,384000,973,1205
2026-03-25,21:02:12,386000,1570,1200
2026-03-25,21:02:14,388000,967,1211
2026-03-25,21:02:16,390000,962,1206
2026-03-25,21:02:18,392000,961,1200
2026-03-25,21:02:20,394000,953,1200
2026-03-25,21:02:22,396000,966,1213
2026-03-25,21:02:24,398000,955,1216
2026-03-25,21:02:26,400000,973,1203
2026-03-25,21:02:28,402000,959,1211
2026-03-25,21:02:30,404000,951,1209
2026-03-25,21:02:32,406000,955,1200
2026-03-25,21:02:34,408000,942,1213
2026-03-25,21:02:36,410000,967,1200
2026-03-25,21:02:38,412000,957,1205
2026-03-25,21:02:40,414000,962,1207
2026-03-25,21:02:42,416000,965,1213
2026-03-25,21:02:44,418000,944,1198
2026-03-25,21:02:46,420000,964,1202
2026-03-25,21:02:48,422000,960,1206
2026-03-25,21:02:50,424000,958,1201
2026-03-25,21:02:52,426000,957,1209
2026-03-25,21:02:54,428000,951,1209
2026-03-25,21:02:56,430000,877,1200
2026-03-25,21:02:58,432000,958,1207
2026-03-25,21:03:00,434000,944,1206
2026-03-25,21:03:02,436000,964,1200
2026-03-25,21:03:04,438000,954,1202
2026-03-25,21:03:06,440000,944,1200
2026-03-25,21:03:08,442000,950,1206
2026-03-25,21:03:10,444000,956,1216
2026-03-25,21:03:12,446000,964,1214
2026-03-25,21:03:14,448000,942,1207
2026-03-25,21:03:16,450000,955,1211
2026-03-25,21:03:18,452000,957,1296
2026-03-25,21:03:20,454000,970,1211
2026-03-25,21:03:22,456000,944,1200
2026-03-25,21:03:24,458000,941,1207
2026-03-25,21:03:26,460000,956,1205
2026-03-25,21:03:28,462000,933,1211
2026-03-25,21:03:30,464000,1055,1209
2026-03-25,21:03:32,466000,939,1209
2026-03-25,21:03:34,468000,961,1203
2026-03-25,21:03:36,470000,949,1203
2026-03-25,21:03:38,472000,961,1216
2026-03-25,21:03:40,474000,949,1217
2026-03-25,21:03:42,476000,960,1214
2026-03-25,21:03:44,478000,950,1227
2026-03-25,21:03:46,480000,971,1220
2026-03-25,21:03:48,482000,966,1218
2026-03-25,21:03:50,484000,953,1212
2026-03-25,21:03:52,486000,949,1222
2026-03-25,21:03:54,488000,930,1203
2026-03-25,21:03:56,490000,945,1208
2026-03-25,21:03:58,492000,941,1214
2026-03-25,21:04:00,494000,949,1216
2026-03-25,21:04:02,496000,946,1094
2026-03-25,21:04:04,498000,954,1216
2026-03-25,21:04:06,500000,955,1221
2026-03-25,21:04:08,502000,944,1214
2026-03-25,21:04:10,504000,935,1217
2026-03-25,21:04:12,506000,944,1215
2026-03-25,21:04:14,508000,935,1216
2026-03-25,21:04:16,510000,959,1216
2026-03-25,21:04:18,512000,923,1219
2026-03-25,21:04:20,514000,953,1217
2026-03-25,21:04:22,516000,934,1216
2026-03-25,21:04:24,518000,938,1216
2026-03-25,21:04:26,520000,946,1306
2026-03-25,21:04:28,522000,944,1218
2026-03-25,21:04:30,524000,1149,1221
2026-03-25,21:04:32,526000,951,1216
2026-03-25,21:04:34,528000,944,1217
2026-03-25,21:04:36,530000,944,1222
2026-03-25,21:04:38,532000,944,1216
2026-03-25,21:04:40,534000,942,1214
2026-03-25,21:04:42,536000,935,1205
2026-03-25,21:04:44,538000,937,1219
2026-03-25,21:04:46,540000,942,1204
2026-03-25,21:04:48,542000,272,1222
2026-03-25,21:04:50,544000,944,1227
2026-03-25,21:04:52,546000,926,1158
2026-03-25,21:04:54,548000,942,1222
2026-03-25,21:04:56,550000,942,1225
2026-03-25,21:04:58,552000,938,1206
2026-03-25,21:05:00,554000,924,1217
2026-03-25,21:05:02,556000,955,1221
2026-03-25,21:05:04,558000,921,1216
2026-03-25,21:05:06,560000,937,1219
2026-03-25,21:05:08,562000,929,1207
2026-03-25,21:05:10,564000,934,1216
2026-03-25,21:05:12,566000,960,1219
2026-03-25,21:05:14,568000,947,1223
2026-03-25,21:05:16,570000,937,1389
2026-03-25,21:05:18,572000,934,1218
2026-03-25,21:05:20,574000,932,1221
2026-03-25,21:05:22,576000,949,1219
2026-03-25,21:05:24,578000,943,1225
2026-03-25,21:05:26,580000,928,1215
2026-03-25,21:05:28,582000,931,1225
2026-03-25,21:05:30,584000,931,1222
2026-03-25,21:05:32,586000,926,1221
2026-03-25,21:05:34,588000,945,1219
2026-03-25,21:05:36,590000,816,1218
2026-03-25,21:05:38,592000,957,1215
2026-03-25,21:05:40,594000,925,1195
2026-03-25,21:05:42,596000,934,1221
2026-03-25,21:05:44,598000,944,1226
2026-03-25,21:05:46,600000,944,1360
2026-03-25,21:05:48,602000,923,1200
2026-03-25,21:05:50,604000,937,1222
2026-03-25,21:05:52,606000,932,1231
2026-03-25,21:05:54,608000,1171,1213
2026-03-25,21:05:56,610000,919,1219
2026-03-25,21:05:58,612000,946,1227
2026-03-25,21:06:00,614000,953,1221
2026-03-25,21:06:02,616000,943,1222
2026-03-25,21:06:04,618000,951,1221
2026-03-25,21:06:06,620000,924,1222
2026-03-25,21:06:08,622000,929,1231
2026-03-25,21:06:10,624000,930,1215
2026-03-25,21:06:12,626000,937,1213
2026-03-25,21:06:14,628000,942,1222
2026-03-25,21:06:16,630000,928,1232
2026-03-25,21:06:18,632000,938,1223
2026-03-25,21:06:20,634000,922,1221
2026-03-25,21:06:22,636000,937,1219
2026-03-25,21:06:24,638000,944,1301
2026-03-25,21:06:26,640000,930,1217
2026-03-25,21:06:28,642000,912,1215
2026-03-25,21:06:30,644000,960,1173
2026-03-25,21:06:32,646000,928,1232
2026-03-25,21:06:34,648000,937,1225
2026-03-25,21:06:36,650000,957,1223
2026-03-25,21:06:38,652000,956,1227
2026-03-25,21:06:40,654000,929,1217
2026-03-25,21:06:42,656000,926,1220
2026-03-25,21:06:44,658000,941,1227
2026-03-25,21:06:46,660000,939,1219
2026-03-25,21:06:48,662000,933,1222
2026-03-25,21:06:50,664000,928,1230
2026-03-25,21:06:52,666000,942,1223
2026-03-25,21:06:54,668000,926,1217
2026-03-25,21:06:56,670000,938,1295
2026-03-25,21:06:58,672000,929,1231
2026-03-25,21:07:00,674000,930,1230
2026-03-25,21:07:02,676000,945,1171
2026-03-25,21:07:04,678000,948,1219
2026-03-25,21:07:06,680000,768,1233
2026-03-25,21:07:08,682000,894,1221
2026-03-25,21:07:10,684000,921,1212
2026-03-25,21:07:12,686000,878,1233
2026-03-25,21:07:14,688000,923,1217
2026-03-25,21:07:16,690000,896,1210
2026-03-25,21:07:18,692000,928,1232
2026-03-25,21:07:20,694000,924,1216
2026-03-25,21:07:22,696000,928,1218
2026-03-25,21:07:24,698000,920,1228
2026-03-25,21:07:26,700000,930,1232
2026-03-25,21:07:28,702000,928,1219
2026-03-25,21:07:30,704000,926,1238
2026-03-25,21:07:32,706000,925,1216
2026-03-25,21:07:34,708000,906,1232
2026-03-25,21:07:36,710000,922,1216
2026-03-25,21:07:38,712000,913,1218
2026-03-25,21:07:40,714000,940,1214
2026-03-25,21:07:42,716000,934,1214
2026-03-25,21:07:44,718000,935,1223
2026-03-25,21:07:46,720000,918,1221
2026-03-25,21:07:48,722000,921,1231
2026-03-25,21:07:50,724000,925,1233
2026-03-25,21:07:52,726000,913,1220
2026-03-25,21:07:54,728000,915,1255
2026-03-25,21:07:56,730000,912,1216
2026-03-25,21:07:58,732000,966,1232
2026-03-25,21:08:00,734000,914,1222
2026-03-25,21:08:02,736000,913,1221
2026-03-25,21:08:04,738000,928,1207
2026-03-25,21:08:06,740000,915,1222
2026-03-25,21:08:08,742000,933,1217
2026-03-25,21:08:10,744000,929,1222
2026-03-25,21:08:12,746000,912,1218
2026-03-25,21:08:14,748000,945,1225
2026-03-25,21:08:16,750000,912,1218
2026-03-25,21:08:18,752000,922,1204
2026-03-25,21:08:20,754000,912,1222
2026-03-25,21:08:22,756000,912,1211
2026-03-25,21:08:24,758000,902,1225
2026-03-25,21:08:26,760000,912,1210
2026-03-25,21:08:28,762000,912,1232
2026-03-25,21:08:30,764000,914,1229
2026-03-25,21:08:32,766000,922,1223
2026-03-25,21:08:34,768000,926,1223
2026-03-25,21:08:36,770000,906,1232
2026-03-25,21:08:38,772000,911,1231
2026-03-25,21:08:40,774000,910,1231
2026-03-25,21:08:42,776000,903,1237
2026-03-25,21:08:44,778000,925,1217
2026-03-25,21:08:46,780000,818,1226
2026-03-25,21:08:48,782000,906,1222
2026-03-25,21:08:50,784000,915,1232
2026-03-25,21:08:52,786000,910,1216
2026-03-25,21:08:54,788000,923,1223
2026-03-25,21:08:56,790000,910,1226
2026-03-25,21:08:58,792000,902,1223
