Vision_Quality,Area,Gas_Quality,Humidity,Temperature,Shelf_Life_Days,Spoilage_Phase
86.2426248972999,364284.0,100.0,74.6,28.8,,3
99.82315235793213,329269.0,100.0,74.7,28.8,,3
81.5320511768545,329929.0,100.0,74.6,28.8,,3
95.3232169416166,363150.0,100.0,74.6,28.8,,3
83.7619183698637,370530.0,100.0,74.6,28.8,,3
88.77662039478432,388745.0,99.5,74.7,28.7,,3
82.38357524898117,336893.0,100.0,74.7,28.8,,3
84.86313477494274,291459.0,100.0,74.8,28.7,,3
90.3689622165166,360442.0,94.0,74.9,28.8,,3
88.04090765313968,340616.0,100.0,74.9,28.7,,3
76.6770340635967,333174.0,100.0,75.0,28.7,,3
85.25828386778585,317908.0,99.0,74.8,28.7,,3
86.70971430667193,366162.0,99.0,76.2,28.6,,3
100.0,356983.0,98.5,76.0,28.6,,3
90.06040312578212,347022.0,100.0,76.0,28.6,,3
75.0,348939.0,100.0,75.9,28.6,,3
88.48184167952822,448529.0,100.0,75.9,28.6,,3
86.46111228175101,362061.0,100.0,75.8,28.6,,3
87.72230584235805,303252.0,100.0,75.7,28.6,,3
97.14258251612017,380077.0,100.0,75.9,28.6,,3
94.32825557634438,313624.0,100.0,75.9,28.6,,3
99.22235448748879,293925.0,100.0,75.8,28.6,,3
92.69485675040217,437618.0,100.0,75.9,28.6,,3
80.07570939895449,327348.0,100.0,76.0,28.6,,3
88.79721092070113,329860.0,100.0,76.4,28.6,,3
75.59469255147094,352742.0,100.0,76.5,28.6,,3
79.50157029019115,368943.0,100.0,76.5,28.6,,3
80.64460612612957,411997.0,100.0,77.3,28.6,,3
81.7339736613101,337117.0,100.0,77.5,28.7,,3
94.50813773895736,300765.0,100.0,76.6,28.7,,3
89.81967947683303,402285.0,100.0,76.0,28.7,,3
75.14013412351018,357385.0,100.0,75.5,28.7,,3
90.07906235398738,381272.0,100.0,75.1,28.7,,3
78.10439431297534,297181.0,100.0,75.2,28.7,,3
92.17553252493518,361879.0,100.0,74.9,28.7,,3
90.00394280276701,363857.0,100.0,74.8,28.8,,3
82.55980222737207,359290.0,100.0,74.7,28.8,,3
90.34457978638945,321425.0,100.0,74.8,28.8,11.0,3
100.0,368953.0,100.0,74.7,28.7,,3
78.46957202237881,376262.0,100.0,74.6,28.8,,3
80.20254663818143,381483.0,100.0,74.8,28.8,,3
97.26876463205923,317172.0,100.0,74.7,28.8,,3
95.70700903395458,366511.0,100.0,74.6,28.8,,3
94.57648127995591,425871.0,100.0,74.6,28.8,,3
86.03689507197704,319850.0,100.0,74.7,28.7,,3
80.88388456299582,317367.0,100.0,74.6,28.7,,3
87.38318632468717,363646.0,100.0,74.7,28.7,,3
90.21352639464016,383087.0,99.5,74.7,28.7,,3
88.10401513502326,408141.0,100.0,74.7,28.7,,3
85.88274533409636,458806.0,100.0,74.7,28.8,,3
93.00533878212005,315713.0,100.0,74.6,28.8,,3
79.4328600155111,369298.0,100.0,74.7,28.7,10.4,3
86.2122977173932,378560.0,100.0,74.7,28.7,,3
91.78590099658835,347086.0,100.0,74.8,28.7,,3
81.22565025545276,289406.0,100.0,74.8,28.7,,3
84.42788038346383,384255.0,100.0,74.7,28.7,,3
89.71274995304164,300170.0,100.0,74.8,28.7,,3
89.38544740680946,365412.0,100.0,74.9,28.7,,3
80.92914051039094,356149.0,100.0,74.9,28.7,,3
88.465669747568,304281.0,100.0,74.9,28.7,,3
90.86229888278626,372431.0,100.0,74.9,28.7,,3
96.66440994540221,392152.0,100.0,74.9,28.7,,3
76.97864505634327,312486.0,100.0,74.9,28.7,,3
92.12028213766928,370551.0,100.0,74.9,28.7,,3
92.12038149044838,504109.0,100.0,75.0,28.7,,3
92.56712408554533,395422.0,100.0,75.0,28.7,,3
95.63201410794562,376055.0,100.0,74.9,28.7,,3
85.47784604287723,380358.0,100.0,75.0,28.7,,3
81.81739828369942,340527.0,100.0,75.1,28.7,10.5,3
84.11709161736717,353274.0,99.5,75.0,28.7,,3
100.0,275309.0,100.0,75.0,28.7,,3
93.4900815229961,285491.0,100.0,75.2,28.7,,3
84.22454507368454,393558.0,100.0,75.0,28.7,,3
88.5142401527637,306890.0,99.5,75.0,28.7,,3
82.27757032592025,377183.0,100.0,75.0,28.6,,3
82.1570669462629,358658.0,100.0,75.1,28.7,,3
88.3645747192305,323935.0,100.0,75.1,28.7,,3
100.0,375356.0,100.0,75.1,28.7,,3
75.0,357458.0,100.0,75.2,28.7,10.1,3
82.70570828185289,384097.0,100.0,75.2,28.7,10.5,3
81.65983409253839,345410.0,100.0,75.2,28.6,10.5,3
92.03989823184365,384630.0,100.0,75.3,28.6,,3
78.3976287435538,336619.0,100.0,75.1,28.6,,3
84.20043751071235,323866.0,100.0,75.4,28.6,,3
100.0,366199.0,100.0,75.2,28.6,,3
77.91292836531964,386714.0,100.0,75.4,28.6,,3
100.0,391298.0,100.0,75.2,28.6,,3
75.8450402723679,330630.0,99.5,75.2,28.6,,3
98.13528919349298,321693.0,100.0,75.3,28.6,,3
91.55055542516983,380985.0,100.0,75.2,28.6,,3
80.58455622737533,347618.0,100.0,75.4,28.6,,3
75.0,309024.0,100.0,75.4,28.6,,3
85.97945478885472,300088.0,100.0,75.3,28.6,,3
100.0,292794.0,100.0,75.4,28.6,,3
84.47964410642413,355229.0,100.0,75.5,28.6,10.6,3
99.53018631252893,292565.0,99.5,75.3,28.6,,3
97.30531001723968,350409.0,100.0,75.3,28.6,,3
80.14793079161639,368484.0,100.0,75.5,28.6,,3
89.59247756458777,325991.0,100.0,75.4,28.6,,3
88.55841667992016,334587.0,100.0,75.3,28.6,,3
88.90813876200998,376485.0,99.5,75.3,28.6,,3
100.0,300487.0,100.0,75.4,28.6,,3
100.0,271916.0,100.0,75.5,28.6,,3
86.78571923971533,373532.0,100.0,75.5,28.6,,3
90.24793494188026,325092.0,100.0,75.4,28.6,,3
86.3350219971418,330279.0,100.0,75.3,28.6,,3
83.2850819444463,383984.0,100.0,75.6,28.6,,3
90.85612388772037,322283.0,100.0,75.5,28.6,11.0,3
95.19679900346601,362291.0,100.0,75.4,28.6,,3
94.50289695071169,375185.0,100.0,75.5,28.6,,3
81.36803991262342,327592.0,100.0,75.5,28.6,,3
93.9783488409861,374414.0,100.0,75.6,28.6,,3
87.83278724828682,354693.0,100.0,75.5,28.5,,3
98.2213191663074,326337.0,100.0,75.5,28.6,,3
92.37677904936031,341912.0,100.0,75.5,28.6,,3
86.25855037418224,393951.0,100.0,75.6,28.6,,3
94.60333079190424,382540.0,100.0,75.6,28.6,,3
98.44383045723464,350840.0,100.0,75.5,28.6,,3
93.45562377035971,337589.0,100.0,75.6,28.6,,3
90.59333081990754,344794.0,100.0,75.5,28.6,,3
88.77596771994175,373806.0,100.0,75.6,28.6,,3
81.45423453413223,433695.0,100.0,75.8,28.6,,3
79.95186094800238,301432.0,100.0,75.7,28.6,,3
97.26488698800054,381666.0,100.0,75.6,28.6,,3
92.99295853641723,375133.0,100.0,75.6,28.6,,3
87.90202581722468,314109.0,100.0,75.6,28.6,10.8,3
88.6064364655498,322913.0,100.0,75.6,28.6,,3
95.800957867342,344117.0,100.0,75.5,28.5,,3
81.39602242565991,337144.0,100.0,75.5,28.6,,3
91.30345163420499,327451.0,100.0,75.6,28.6,,3
81.42223683546855,359747.0,100.0,75.8,28.6,,3
89.95973256886978,329722.0,100.0,75.7,28.5,,3
84.23169355505341,359281.0,100.0,75.7,28.6,,3
76.4153252680214,293701.0,100.0,75.6,28.6,,3
82.2524462299805,341462.0,100.0,75.6,28.5,,3
90.48726052478403,409014.0,100.0,75.6,28.5,11.0,3
94.86127698561616,343602.0,100.0,75.6,28.6,11.2,3
87.84787033677848,309898.0,100.0,75.4,28.5,,3
87.85189491206089,338453.0,100.0,75.5,28.5,,3
90.58174848270471,316910.0,100.0,75.6,28.5,,3
92.15477211392938,411309.0,100.0,75.6,28.5,,3
87.12991881234514,366068.0,100.0,75.6,28.5,10.8,3
93.5211519336889,333951.0,100.0,75.4,28.5,,3
89.79273985448333,350503.0,100.0,75.7,28.5,,3
88.78140878839065,319079.0,100.0,75.7,28.5,,3
88.19608139407154,369919.0,100.0,75.6,28.5,,3
99.60914886236033,388370.0,100.0,76.5,28.5,,3
100.0,319306.0,100.0,77.1,28.5,,3
94.97856509376543,357333.0,100.0,76.4,28.6,,3
100.0,317668.0,100.0,76.2,28.6,,3
81.2822252625538,326024.0,100.0,76.0,28.6,,3
75.0,328969.0,100.0,76.8,28.6,,3
81.92693870757041,356015.0,100.0,76.7,28.6,,3
90.73404780621728,425046.0,99.0,77.0,28.6,,3
95.60339070548841,326923.0,100.0,76.8,28.6,,3
80.81268262921314,369676.0,100.0,76.8,28.6,10.3,3
77.43813434383486,423258.0,100.0,76.7,28.6,,3
97.4355209657703,331232.0,100.0,76.1,28.7,11.3,3
75.0,404154.0,100.0,76.1,28.7,,3
87.08368123797905,399512.0,100.0,75.8,28.7,,3
75.24457872964507,326024.0,100.0,75.6,28.7,,3
88.04194959774547,351879.0,100.0,75.6,28.7,,3
84.39947622816605,374913.0,100.0,75.6,28.7,10.6,3
79.45903656493924,344304.0,100.0,75.6,28.7,,3
88.9623650536952,370577.0,100.0,75.4,28.7,,3
93.69291902471112,305014.0,100.0,75.4,28.8,,3
75.72708663411503,401107.0,100.0,75.2,28.8,,3
90.65851209583673,320060.0,100.0,75.2,28.7,11.0,3
100.0,354626.0,100.0,75.2,28.7,,3
97.43437747251062,352700.0,100.0,75.0,28.8,,3
100.0,420213.0,100.0,75.0,28.7,,3
86.00828681216741,388862.0,100.0,75.0,28.7,,3
93.16300759668118,404745.0,100.0,75.0,28.7,,3
80.28061231535916,377442.0,100.0,75.1,28.8,,3
96.46739589479671,279650.0,100.0,74.9,28.7,,3
78.5339318986738,268430.0,100.0,74.9,28.7,,3
85.84474532444354,378701.0,100.0,74.9,28.7,,3
100.0,352963.0,100.0,74.8,28.7,,3
100.0,294795.0,100.0,74.8,28.7,,3
75.0,347778.0,100.0,74.9,28.7,,3
91.07252359151445,348692.0,100.0,74.8,28.8,,3
75.0,346435.0,100.0,74.7,28.7,,3
77.56424399596118,376786.0,100.0,74.8,28.7,,3
90.93278596877478,312404.0,100.0,74.8,28.7,,3
83.88906466130645,307631.0,100.0,74.9,28.7,,3
87.49856722181462,388205.0,100.0,74.8,28.7,,3
80.11419162931566,370161.0,100.0,74.9,28.7,,3
83.75793905302048,318285.0,100.0,75.0,28.7,,3
87.14375712036353,308590.0,100.0,74.9,28.7,,3
83.57080555722254,302084.0,100.0,74.9,28.7,,3
100.0,351410.0,100.0,74.7,28.7,,3
82.40219593605931,358559.0,100.0,74.9,28.7,,3
87.10137560247337,341161.0,100.0,74.9,28.6,,3
92.9133336003474,380300.0,100.0,74.8,28.7,,3
83.75599081911578,326967.0,100.0,74.9,28.7,,3
85.79958642278685,257923.0,100.0,75.0,28.7,,3
75.87847150241159,404674.0,100.0,74.9,28.7,,3
100.0,340038.0,100.0,75.0,28.7,,3
92.61245570444613,362450.0,100.0,74.9,28.7,,3
100.0,394782.0,100.0,74.9,28.6,,3
86.97665926815387,311778.0,100.0,75.0,28.6,,3
75.14842943793943,358138.0,100.0,75.0,28.6,,3
81.94919403772558,293109.0,100.0,74.9,28.6,,3
82.82741692605978,306738.0,100.0,75.0,28.6,,3
100.0,385265.0,100.0,74.9,28.6,,3
87.93621886946706,409197.0,100.0,75.0,28.6,,3
88.61894646118094,315548.0,100.0,75.0,28.6,,3
100.0,371556.0,100.0,75.0,28.6,,3
79.70203076538834,342386.0,100.0,74.9,28.6,10.4,3
80.99505397292194,294688.0,100.0,75.0,28.6,,3
95.40942038025312,426376.0,100.0,75.0,28.6,,3
76.81145940944687,372518.0,100.0,75.0,28.6,,3
82.79485944702539,330514.0,100.0,75.0,28.6,10.6,3
83.26084860608904,315440.0,100.0,74.9,28.6,,3
88.38817302355862,316761.0,100.0,74.9,28.6,,3
90.16365460623871,347990.0,100.0,75.0,28.6,,3
86.08841562506872,313697.0,100.0,75.0,28.5,,3
83.38582935545334,380215.0,100.0,75.0,28.6,,3
92.00733750099505,310897.0,100.0,75.0,28.6,,3
